"jahr","kw","alterskategegorie","anzahl_falleingaenge"
"2021","39","50-59","88"
"2021","39","60-69","51"
"2021","39","70-79","24"
"2021","39","80-89","17"
"2021","39","90-99","4"
"2021","38","0-9","69"
"2021","38","10-19","195"
"2021","38","100+","1"
"2021","38","20-29","166"
"2021","38","30-39","183"
"2021","38","40-49","135"
"2021","38","50-59","122"
"2021","38","60-69","50"
"2021","38","70-79","41"
"2021","38","80-89","19"
"2021","38","90-99","15"
"2021","37","#null","1"
"2021","37","0-9","124"
"2021","37","10-19","382"
"2021","37","20-29","225"
"2021","37","30-39","238"
"2021","37","40-49","174"
"2021","37","50-59","155"
"2021","37","60-69","61"
"2021","37","70-79","46"
"2021","37","80-89","22"
"2021","37","90-99","9"
"2021","36","#null","1"
"2021","36","0-9","244"
"2021","36","10-19","431"
"2021","36","100+","1"
"2021","36","20-29","268"
"2021","36","30-39","320"
"2021","36","40-49","259"
"2021","36","50-59","172"
"2021","36","60-69","79"
"2021","36","70-79","38"
"2021","36","80-89","18"
"2021","36","90-99","7"
"2021","35","#null","1"
"2021","35","0-9","269"
"2021","35","10-19","463"
"2021","35","20-29","323"
"2021","35","30-39","327"
"2021","35","40-49","275"
"2021","35","50-59","179"
"2021","35","60-69","77"
"2021","35","70-79","45"
"2021","35","80-89","28"
"2021","35","90-99","15"
"2021","34","0-9","277"
"2021","34","10-19","472"
"2021","34","100+","2"
"2021","34","20-29","343"
"2021","34","30-39","314"
"2021","34","40-49","233"
"2021","34","50-59","180"
"2021","34","60-69","90"
"2021","34","70-79","41"
"2021","34","80-89","27"
"2021","34","90-99","6"
"2021","33","0-9","134"
"2021","33","10-19","368"
"2021","33","20-29","389"
"2021","33","30-39","360"
"2021","33","40-49","258"
"2021","33","50-59","153"
"2021","33","60-69","89"
"2021","33","70-79","31"
"2021","33","80-89","25"
"2021","33","90-99","7"
"2021","32","0-9","64"
"2021","32","10-19","308"
"2021","32","20-29","479"
"2021","32","30-39","274"
"2021","32","40-49","230"
